"Plot_Name","Network","Unit_Code","cycle","excludeEvent","SapPlotNum","SeedPlotNum","Sor_sap","Hor_sap","Sor_seed","Hor_seed"
"ALPO-006","ERMN","ALPO",1,0,4,4,0.5,0.479307201458523,0.363636363636364,0.586145425678593
"ALPO-006","ERMN","ALPO",2,0,4,4,0.5,0.463735460690579,0.333333333333333,0.698701298701299
"ALPO-006","ERMN","ALPO",3,0,4,4,0.363636363636364,0.514460578423137,0.2,0.574875096850036
"ALPO-009","ERMN","ALPO",1,0,4,4,0.285714285714286,0.966820987654321,0.666666666666667,0.748249411627975
"ALPO-009","ERMN","ALPO",2,0,4,4,0.285714285714286,0.964716006884682,0.5,0.85168362073655
"ALPO-009","ERMN","ALPO",3,0,4,4,0.285714285714286,0.927777777777778,0.25,0.871402940685226
"ALPO-012","ERMN","ALPO",1,0,4,4,0.444444444444444,0.79842781172634,0.666666666666667,0.575587518678163
"ALPO-012","ERMN","ALPO",2,0,4,4,0.25,0.946720484359233,0.545454545454545,0.631678016985226
"ALPO-015","ERMN","ALPO",1,0,4,4,0.25,0.993541189595444,0.714285714285714,0.709473140050834
"ALPO-015","ERMN","ALPO",2,0,4,4,0.444444444444444,0.979452191334337,0.769230769230769,0.760453244617378
"ALPO-015","ERMN","ALPO",3,0,4,4,0.25,0.996942128910941,0.428571428571429,0.875912672621186
"ALPO-020","ERMN","ALPO",1,0,4,4,0,0,0.6,0.705501978632887
"ALPO-020","ERMN","ALPO",2,0,4,4,0,0,0.545454545454545,0.759611500727877
"ALPO-020","ERMN","ALPO",3,0,4,4,0,0,0.6,0.733310084511141
"ALPO-021","ERMN","ALPO",1,0,4,4,0,1,0.727272727272727,0.305849986552127
"ALPO-021","ERMN","ALPO",2,0,4,4,0,1,0.6,0.765100671140939
"ALPO-021","ERMN","ALPO",3,0,4,4,0,1,0.25,0.809055392772429
"ALPO-022","ERMN","ALPO",1,0,4,4,0,0,0.25,0.658314350797267
"ALPO-022","ERMN","ALPO",2,0,4,4,0,0,0.25,0.638351555929352
"ALPO-022","ERMN","ALPO",3,0,4,4,0,0,0.222222222222222,0.65648713947186
"ALPO-025","ERMN","ALPO",1,0,4,4,0,1,0,1
"ALPO-025","ERMN","ALPO",2,0,4,4,0,0,0.25,0.383835393383169
