"Plot_Name","MACROGROUP_NAME","mg_short","lat_rank"
"ACAD-001","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-002","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-004","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-005","Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland","Northern Oak - Pine",6
"ACAD-006","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-007","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-008","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-009","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-010","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-011","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-012","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-013","Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland","Northern Oak - Pine",6
"ACAD-014","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-015","Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland","Northern Oak - Pine",6
"ACAD-016","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-017","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-018","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-020","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-021","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-022","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
"ACAD-023","Laurentian-Acadian Mesic Hardwood - Conifer Forest","Acadian Mixed",8
