"Plot_Name","Unit_Code","Year","Network","cycle","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","DBI"
"ALPO-006","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"ALPO-006","ALPO",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-006","ALPO",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-009","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-009","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-009","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-012","ALPO",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"ALPO-012","ALPO",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-015","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2
"ALPO-015","ALPO",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-015","ALPO",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-020","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4
"ALPO-020","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-020","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-021","ALPO",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-021","ALPO",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-021","ALPO",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4
"ALPO-022","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4
"ALPO-022","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4
"ALPO-022","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3
"ALPO-025","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4
