"Plot_Name","Unit_Code","Year","Network","cycle","SapPlotNum","SapPlotSize","SeedPlotNum","SeedPlotSize","ShrubPlotNum","ShrubPlotSize","HPlotNum","HPlotSize","excludeEvent","DBI","stock_final"
"ALPO-006","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,106.25
"ALPO-006","ALPO",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,79.5
"ALPO-006","ALPO",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,61.5
"ALPO-009","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,104
"ALPO-009","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,109.75
"ALPO-009","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,57.5
"ALPO-012","ALPO",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,830
"ALPO-012","ALPO",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,819
"ALPO-015","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,418.5
"ALPO-015","ALPO",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,251.5
"ALPO-015","ALPO",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,306.5
"ALPO-020","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,28.5
"ALPO-020","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,42
"ALPO-020","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,24.75
"ALPO-021","ALPO",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,225.25
"ALPO-021","ALPO",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,212.5
"ALPO-021","ALPO",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,110.75
"ALPO-022","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,12.75
"ALPO-022","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,51.5
"ALPO-022","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,60
"ALPO-025","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,11.25
"ALPO-025","ALPO",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,0
"ALPO-025","ALPO",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,2
"ALPO-027","ALPO",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,16
"ALPO-027","ALPO",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,4.75
"ALPO-030","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,2.75
"ALPO-030","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,0.5
"ALPO-030","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,2.25
"ALPO-031","ALPO",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,1.75
"ALPO-031","ALPO",2014,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,0.75
"ALPO-031","ALPO",2018,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,6.75
"ALPO-036","ALPO",2011,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,4,90
"ALPO-036","ALPO",2015,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,4,42.25
"ALPO-036","ALPO",2019,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,17
"ALPO-040","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,3,201
"ALPO-040","ALPO",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,144.25
"ALPO-040","ALPO",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,99.25
"ALPO-041","ALPO",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,149.75
"ALPO-041","ALPO",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,97
"ALPO-041","ALPO",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,4,39.25
"ALPO-047","ALPO",2009,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,0
"ALPO-047","ALPO",2013,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,0.25
"ALPO-047","ALPO",2017,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,5.25
"ALPO-052","ALPO",2008,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,NA,30
"ALPO-052","ALPO",2012,"ERMN",2,4,12.57,4,12.57,4,12.57,12,1,0,3,16.75
"ALPO-052","ALPO",2016,"ERMN",3,4,12.57,4,12.57,4,12.57,12,1,0,3,18.25
"ALPO-053","ALPO",2010,"ERMN",1,4,12.57,4,12.57,4,12.57,12,1,0,2,39.25
