Network,Unit_Code,Plot_Name,CEGL_Code,COMMON_NAME,MACROGROUP_KEY,MACROGROUP_NAME,GROUP_KEY,GROUP_NAME
NETN,ACAD,ACAD-001,CEGL006151,Maritime Spruce - Fir Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-002,CEGL006508,Northern White-cedar Mesic Rocky Woodland,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G920,Acadian-Appalachian Hemlock - White Pine - Hardwood Forest
NETN,ACAD,ACAD-003,CEGL006041,Jack Pine Heath Barrens,M159,Laurentian-Acadian Pine - Hardwood Forest & Woodland,G908,Acadian-Appalachian Pine - Oak Forest & Woodland
NETN,ACAD,ACAD-004,CEGL006129,Hemlock - Spruce - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G920,Acadian-Appalachian Hemlock - White Pine - Hardwood Forest
NETN,ACAD,ACAD-005,CEGL006134,Red Oak / Heath Woodland Rocky Summit,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G650,Central Appalachian-Northeast Oak Forest & Woodland
NETN,ACAD,ACAD-006,CEGL006508,Northern White-cedar Mesic Rocky Woodland,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G920,Acadian-Appalachian Hemlock - White Pine - Hardwood Forest
NETN,ACAD,ACAD-007,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-008,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-009,CEGL006508,Northern White-cedar Mesic Rocky Woodland,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G920,Acadian-Appalachian Hemlock - White Pine - Hardwood Forest
NETN,ACAD,ACAD-010,CEGL006631,Northern Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G922,Acadian-Appalachian Hardwood Forest
NETN,ACAD,ACAD-011,CEGL006324,White Pine - Hemlock - Red Spruce Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G920,Acadian-Appalachian Hemlock - White Pine - Hardwood Forest
NETN,ACAD,ACAD-012,CEGL008719,Acadian-Appalachian Aspen-Birch-Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G922,Acadian-Appalachian Hardwood Forest
NETN,ACAD,ACAD-013,CEGL006293,Northeastern White Pine - Oak Forest,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G650,Central Appalachian-Northeast Oak Forest & Woodland
NETN,ACAD,ACAD-014,CEGL006324,White Pine - Hemlock - Red Spruce Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G920,Acadian-Appalachian Hemlock - White Pine - Hardwood Forest
NETN,ACAD,ACAD-015,CEGL006293,Northeastern White Pine - Oak Forest,M502,Appalachian-Northeastern Oak - Hardwood - Pine Forest & Woodland,G650,Central Appalachian-Northeast Oak Forest & Woodland
NETN,ACAD,ACAD-016,CEGL006151,Maritime Spruce - Fir Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-017,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-018,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-019,CEGL006198,Red Spruce - Red Maple Acidic Swamp Forest,M504,Laurentian-Acadian Flooded & Swamp Forest,G045,Laurentian-Acadian Acidic Swamp
NETN,ACAD,ACAD-020,CEGL006508,Northern White-cedar Mesic Rocky Woodland,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G920,Acadian-Appalachian Hemlock - White Pine - Hardwood Forest
NETN,ACAD,ACAD-021,CEGL006151,Maritime Spruce - Fir Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-022,CEGL006151,Maritime Spruce - Fir Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-023,CEGL006151,Maritime Spruce - Fir Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-024,CEGL006508,Northern White-cedar Mesic Rocky Woodland,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G920,Acadian-Appalachian Hemlock - White Pine - Hardwood Forest
NETN,ACAD,ACAD-025,CEGL006151,Maritime Spruce - Fir Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-026,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-027,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-028,CEGL006631,Northern Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G922,Acadian-Appalachian Hardwood Forest
NETN,ACAD,ACAD-029,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-030,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
NETN,ACAD,ACAD-031,CEGL006505,Successional Mixed Spruce - Fir - Hardwood Forest,M014,Laurentian-Acadian Mesic Hardwood - Conifer Forest,G744,Acadian-Appalachian Red Spruce - Fir - Hardwood Forest
