"Unit_Code","lat_rank","sap_ba_tot","sap_dens_tot","seed_dens_tot","sap_ba_pct_FRAX","sap_ba_pct_FAGGRA","sap_ba_pct_ASITRI","sap_dens_pct_FRAX","sap_dens_pct_FAGGRA","sap_dens_pct_ASITRI","seed_dens_pct_FRAX","seed_dens_pct_FAGGRA","seed_dens_pct_ASITRI","sap_ba_check","sap_dens_check","seed_dens_check"
"ACAD",39,614.04554494829,36.9132856006364,90.2147971360382,0.0036774123127361,0.00700716012922545,0,0.0021551724137931,0.00646551724137931,0,0.0302763080540858,0.00823045267489711,0,0.0106845724419616,0.00862068965517241,0.0385067607289829
"ALPO",29,15.6830071599045,1.49164677804296,12.1519490851233,0,0.137948207171315,0,0,0.0533333333333334,0,0.201309328968903,0.158756137479542,0,0.137948207171315,0.0533333333333334,0.360065466448445
"ANTI",21,21.074165782337,1.39134536021696,17,0,0.056901471493314,0.132098696357635,0,0.0423728813559322,0.406779661016949,0.0392156862745098,0.00980392156862747,0.25,0.189000167850949,0.449152542372882,0.299019607843137
"APCO",4,77.1506202098809,5.1998585072515,35.25,0.0134173722385237,0.0719698348077035,0,0.036281179138322,0.0408163265306122,0,0.160756501182033,0.00709219858156028,0,0.0853872070462272,0.0770975056689343,0.167848699763594
"BLUE",6,41.7068019093079,2.40652346857597,75.0596658711218,0.0158239700374532,0.0371722846441946,0.070505617977528,0.0165289256198347,0.0165289256198347,0.198347107438017,0.480657127715951,0.0127186009538951,0.0508744038155803,0.123501872659176,0.231404958677686,0.544250132485427
"BOWA",1,21.1727838698267,1.2380615493456,26.25,0.0575162789381843,0.0493153005590467,0.00925507324923518,0.0285714285714286,0.0476190476190477,0.00952380952380956,0.0984126984126984,0.0126984126984127,0.076190476190476,0.116086652746466,0.0857142857142858,0.187301587301587
"CATO",22,30.4751798137012,1.03761348897536,36.1666666666667,0,0.0360984291573164,0.00394645206221467,0,0.0568181818181819,0.0113636363636364,0.67741935483871,0.00691244239631336,0.00691244239631337,0.0400448812195311,0.0681818181818183,0.691244239631337
"CHOH",19,115.295366112487,7.77031010494046,43.5833333333333,0.0367859115174572,0.0365404675707185,0.413020801374486,0.0242792109256449,0.0182094081942337,0.673748103186646,0.160611854684512,0,0.497131931166348,0.486347180462662,0.716236722306525,0.657743785850861
"COLO",3,98.4805541799316,5.53000825374366,64.1666666666667,0,0.0294453785102489,0.195110704497884,0,0.0319829424307036,0.38592750533049,0.161038961038961,0.0207792207792208,0.415584415584416,0.224556083008133,0.417910447761194,0.597402597402598
"DEWA",32,113.655096539379,6.54335719968178,115.950676213206,0.00357338706241471,0.0559028918321993,0,0.00911854103343465,0.133738601823708,0,0.0524871355060034,0.0238421955403088,0,0.059476278894614,0.142857142857143,0.0763293310463122
"FONE",24,21.3923090692124,1.19331742243437,46.7382657120127,0,0.0534866739686017,0,0,0.133333333333334,0,0.167659574468085,0.00808510638297873,0,0.0534866739686017,0.133333333333334,0.175744680851064
"FRHI",23,18.4126939140811,0.894988066825775,25.3977724741448,0.0171792152704136,0.0604453870625663,0.302439024390244,0.0666666666666667,0.088888888888889,0.422222222222222,0.58574784651527,0.0140955364134691,0.0313234142521535,0.380063626723224,0.577777777777777,0.631166797180893
"FRSP",10,198.017670086075,11.4727036906025,99.5833333333334,0.0166934575792396,0.0509118780934858,0,0.0113052415210689,0.065775950668037,0,0.0158995815899582,0.0225941422594142,0.00334728033472804,0.0676053356727254,0.0770811921891059,0.0418410041841004
"GARI",9,85.4403669451074,4.97215592680987,39.5982498011138,0.00114264820147173,0.0554869966634673,0.023081493669729,0.00400000000000001,0.0680000000000001,0.0640000000000001,0.0954294324460069,0.0637870416875942,0.0838774485183325,0.079711138534668,0.136,0.243093922651934
