"Plot_Name","Park","Network","Year","hummod300m","DBI","x","y","PROVINCE","Physiographic_Class","cancov","tmax","precip","stage_fac","QMD","mDBH","Tree_BA_Total","Tree_Dens_Total","Sap_Dens_NatCan","Seed_Dens_NatCan","Sap_Dens_NatOth","Seed_Dens_NatOth","Sap_Dens_Exotic","Seed_Dens_Exotic","stock_final","Sap_Dens_Total","Seed_Dens_Total","Sor_seed","Sor_sap","avg.cover","dm_park"
"ALPO-006","ALPO","ERMN",2017,0.119999997317791,3,1457962.46193454,2072755.22377607,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",81,-0.040311336517334,0.0977497845888138,"Late Succ.",34.8417430508798,31.0117647058824,45.8603294633708,481.001605788839,0.0795544948289578,0.258552108194113,0.0596658711217182,0.099443118536197,0,0,22.25,0.139220365950676,0.35799522673031,0.2,0.363636363636364,0,0
"ALPO-009","ALPO","ERMN",2019,0.000000000000000170540488634548,3,1458692.00237647,2072869.50108407,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",81,-0.040311336517334,0.0977497845888138,"Mature",33.4624971863834,31.5512820512821,48.52212457668,551.737136051904,0.0198886237072395,0.198886237072395,0.0397772474144789,0.139220365950676,0,0,30.5,0.0596658711217184,0.338106603023071,0.25,0.285714285714286,0,0
"ALPO-015","ALPO","ERMN",2017,0.0000000210781188059173,3,1458610.46739041,2072597.41341904,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",84,-0.040311336517334,0.0977497845888138,"Late Succ.",32.5646306967205,28.9310344827586,34.1703021270657,410.266075525775,0,0.73587907716786,0.338106603023071,1.07398568019093,0.0198886237072395,0.178997613365155,35.5,0.35799522673031,1.98886237072395,0.428571428571429,0.25,0,0
"ALPO-020","ALPO","ERMN",2019,0.150000035762787,3,1459254.9307797,2072474.77734935,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",79,-0.040311336517334,0.0977497845888138,"Late Succ.",37.8847179196553,34.4740740740741,43.0576562428503,381.971863420549,0,1.17342879872713,0,0.0596658711217202,0,0,19,0,1.23309466984885,0.6,0,0.016666667,0
"ALPO-021","ALPO","ERMN",2018,0.159999996423721,4,1459511.70411859,2072469.05522899,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",83,-0.040311336517334,0.0977497845888138,"Mosaic",38.5669660404499,35.1869565217391,38.0116999987928,325.383439210097,0,0.139220365950676,0.178997613365155,0.198886237072395,0,0,3,0.178997613365155,0.338106603023071,0.25,0,0.008333333,0
"ALPO-022","ALPO","ERMN",2019,0.159999996423721,3,1458536.35358582,2072068.19115703,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",75,-0.040311336517334,0.0977497845888138,"Mosaic",29.686216724511,27.1731707317073,40.1469049918192,580.03134815713,0,0.73587907716786,0,0.019888623707239,0,0,59.75,0,0.755767700875099,0.222222222222222,0,0,0
"ALPO-025","ALPO","ERMN",2017,0.0299999956041574,3,1459172.14861026,2072185.13942674,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",81,-0.040311336517334,0.0977497845888138,"Mosaic",34.9866121581246,32.1515151515151,44.8824160654782,466.854499736226,0,0.139220365950676,0,0.039777247414479,0,0.0596658711217184,2,0,0.238663484486873,0.153846153846154,0,18.1,0
"ALPO-030","ALPO","ERMN",2019,0.0000000161328994607857,4,1458850.0362899,2071873.32378053,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",67,-0.040311336517334,0.0977497845888138,"Mature",26.9757620676494,25.2782608695652,37.193220307058,650.766878420194,0,0.178997613365155,0,0,0,0,2.25,0,0.178997613365155,0.5,0,0,0
"ALPO-031","ALPO","ERMN",2018,0,4,1459095.19741229,2071915.81023866,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",79,-0.040311336517334,0.0977497845888138,"Mature",20.2803308203249,19.2636363636364,5.02691175507889,155.618166578742,0,0.0994431185361973,0,0,0,0.0596658711217184,6.75,0,0.159108989657916,0.333333333333333,0,13.21666667,0
"ALPO-036","ALPO","ERMN",2019,0.00000000109700482031627,4,1460253.53283314,2071836.907937,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",84,-0.040311336517334,0.0977497845888138,"Late Succ.",34.9459991578844,32.2857142857143,28.4952666341729,297.089227104871,0,0.238663484486873,0.0596658711217184,0,0,0,4.5,0.0596658711217184,0.238663484486873,0.285714285714286,0.285714285714286,0,0
"ALPO-040","ALPO","ERMN",2017,0.149999991059303,3,1460867.6396398,2071683.98687474,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",82,-0.040311336517334,0.0977497845888138,"Mature",26.8401802858658,24.7472222222222,28.8158784950123,509.295817894065,0,0.0397772474144789,0.178997613365155,0.159108989657916,0,0,0.75,0.178997613365155,0.198886237072395,0.25,0.333333333333333,0,0
"ALPO-041","ALPO","ERMN",2016,0.000000000156244864268906,4,1460852.24008252,2071482.49370472,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",86,-0.040311336517334,0.0977497845888138,"Mature",34.6233273964245,32.028,33.2993778682485,353.677651315323,0,0.119331742243437,0.139220365950676,0.039777247414479,0,0,1.5,0.139220365950676,0.159108989657916,0.181818181818182,0,0,0
"ALPO-047","ALPO","ERMN",2017,0.149999991059303,3,1461759.73228858,2070798.69590309,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",88,-0.0369090214371681,0.0864239707589149,"Mature",26.4064563601404,24.615625,24.7929801988592,452.707393683613,0,0.238663484486873,0,0.01988862370724,0,0,4.75,0,0.258552108194113,0,0,0.125,0
"ALPO-052","ALPO","ERMN",2016,0,3,1463572.54875797,2069832.98864157,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",80,-0.0369090214371681,0.0864239707589149,"Late Succ.",41.1999422098531,35.0571428571429,39.6069148402014,297.089227104871,0,0.119331742243437,0.0198886237072395,0.178997613365155,0,0,1.75,0.0198886237072395,0.298329355608592,0.25,0,0.008333333,0
"ALPO-053","ALPO","ERMN",2018,0,4,1463812.70326106,2069830.78088036,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",83,-0.0369090214371681,0.0864239707589149,"Mosaic",30.5150290840432,26.1166666666667,31.03897258245,424.413181578388,0.0198886237072395,0,0.0198886237072394,0.178997613365155,0,0,0,0.0397772474144789,0.178997613365155,0,0.285714285714286,0.008333333,0
"ALPO-059","ALPO","ERMN",2018,0.00000000598714633426312,3,1465035.91318185,2069269.91157116,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",76,-0.0318691767752171,0.0622766725718975,"Late Succ.",33.97286601098,28.71875,20.518370202985,226.353696841807,0.0397772474144789,0.139220365950676,0.0198886237072395,0.258552108194113,0,0.0596658711217184,2,0.0596658711217184,0.457438345266508,0.333333333333333,0.5,32.05,0
"ALPO-061","ALPO","ERMN",2018,0.610000014305115,3,1467885.86896128,2069451.7305249,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",82,-0.0318691767752171,0.0622766725718975,"Mature",24.5077183937952,22.2913043478261,15.349424782437,325.383439210097,0,0.0596658711217184,0,0.7557677008751,0.0198886237072395,0,0.75,0.0198886237072395,0.815433571996818,0.25,0,108.725,0
"ALPO-062","ALPO","ERMN",2016,0.030000027269125,3,1467310.4754017,2069098.25077212,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",91,-0.0318691767752171,0.0622766725718975,"Mature",23.8862374690015,22.4936170212766,29.795580785977,664.913984472807,0.0198886237072395,0.0397772474144789,0.0198886237072394,0.855210819411297,0,0.0198886237072395,0.75,0.0397772474144789,0.914876690533015,0.166666666666667,0.222222222222222,0,0
"ALPO-065","ALPO","ERMN",2017,0.000000000947760314673474,3,1467211.81506684,2068852.07690032,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",76,-0.0318691767752171,0.0622766725718975,"Pole",20.1886374250736,18.972972972973,16.7561502941877,523.442923946678,0,0.0397772474144789,0,0.696101829753381,0,0,0.75,0,0.73587907716786,0,0,69.04166667,0
"ALPO-069","ALPO","ERMN",2016,0.00000000585514703388412,2,1436534.48972487,2059173.24857279,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",82,-0.0414736680686474,0.0766390636563301,"Late Succ.",43.1471175167009,40.7375,33.0964996160542,226.353696841807,0.0198886237072395,0.0397772474144789,0.0596658711217183,0.477326968973747,0,0,13,0.0795544948289578,0.517104216388226,0.2,0,0,0
"ALPO-072","ALPO","ERMN",2016,0.0100000509992242,3,1435655.36004478,2058537.92526088,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",64,-0.0414736680686474,0.0766390636563301,"Mature",28.7103204440494,25.135,18.3174317229121,282.942121052258,0.0198886237072395,0.298329355608592,0.0596658711217183,0.536992840095465,0,0,4.25,0.0795544948289578,0.835322195704057,0.5,0.363636363636364,4.583333333,0
"ALPO-077","ALPO","ERMN",2019,0.00000000654100418273629,2,1435955.9274318,2057301.48177229,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",85,-0.0384232476353645,0.0783294215798378,"Late Succ.",28.4540549525589,24.4675675675676,33.2850000568492,523.442923946678,0.0397772474144789,0.636435958631663,0,0.318217979315831,0,0,13.75,0.0397772474144789,0.954653937947494,0.375,0.285714285714286,24.19166667,0
"BLUE-003","BLUE","ERMN",2016,0,3,1310611.24640154,1721979.8399337,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",83,-0.02924426458776,0.0751225650310516,"Late Succ.",27.4026245054599,22.536170212766,39.2139583657448,664.913984472807,0.0397772474144789,0.0198886237072395,0,0.238663484486873,0,0,12.75,0.0397772474144789,0.258552108194113,0,0.4,0.016666667,0
"BLUE-011","BLUE","ERMN",2018,0.000000000290790141965758,3,1308738.42354258,1721178.51955579,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",90,-0.0244104713201523,0.0718305259943008,"Late Succ.",39.5013019676929,35.5952380952381,36.4083184716203,297.089227104871,0.0198886237072395,0.477326968973747,0,6.58313444709626,0,0,7.25,0.0198886237072395,7.06046141607001,0.380952380952381,0.285714285714286,3.133333333,0
"BLUE-027","BLUE","ERMN",2017,0,3,1310850.17964175,1721247.63303671,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",86,-0.02924426458776,0.0751225650310516,"Mature",29.1877988207401,26.956,23.6647108938143,353.677651315323,0.0397772474144789,0.775656324582339,0,0.198886237072395,0,0,18.25,0.0397772474144789,0.974542561654734,0.5,0,18.33333333,0
"BLUE-030","BLUE","ERMN",2016,0.0100000062957406,3,1308815.30657459,1720663.96960223,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",92,-0.0244104713201523,0.0718305259943008,"Late Succ.",33.2031194747895,30.3357142857143,34.2984357600305,396.118969473162,0,0.0198886237072395,0,0.536992840095465,0,0,0.25,0,0.556881463802705,0.153846153846154,0,0,0
"BLUE-034","BLUE","ERMN",2017,0,2,1309804.31875271,1720822.39562774,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry",93,-0.0244104713201523,0.0718305259943008,"Mature",24.7322189271651,21.9448979591837,33.3028000984734,693.208196578033,0.0994431185361973,1.75019888623707,0,0.17899761336516,0,0,48.25,0.0994431185361973,1.92919649960223,0.533333333333333,0.222222222222222,0,0
"BLUE-038","BLUE","ERMN",2018,0.0000000000000000299451624017262,2,1310760.40895735,1720979.6711167,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","mesic",88,-0.0269611403346062,0.0732488185167313,"Late Succ.",43.0766274600662,39.525,24.7413356336476,169.765272631355,0,0,0,0,0,0,0,0,0,0,0,9.175,0
"BLUE-040","BLUE","ERMN",2017,0.00000000116477394396242,3,1308981.3505495,1720427.51370823,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry-mesic",91,-0.0244104713201523,0.0718305259943008,"Mature",27.7380392877617,24.7764705882353,29.0662457471451,481.001605788839,0.0596658711217184,1.11376292760541,0.0198886237072394,3.28162291169451,0,0,60.5,0.0795544948289578,4.39538583929992,0.37037037037037,0.428571428571429,7.175,0
"BLUE-041","BLUE","ERMN",2018,0.000000000000000119696634526449,3,1309214.28924711,1720482.99946922,"Central Appalachian Broadleaf Forest-Coniferous Forest-Meadow Province","dry",92,-0.0244104713201523,0.0718305259943008,"Mature",23.6608054445683,21.3142857142857,21.7713620219069,495.148711841452,0.119331742243437,2.60540970564837,0,1.412092283214,0,0.119331742243437,88.5,0.119331742243437,4.13683373110581,0.296296296296296,0.4,1,0
