"mg_short","lat_rank","cycle","size_class","density","class","mg_ord"
"Acadian Mixed",8,1,"dbh_10cm",527.425267907501,10,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_20cm",181.598984771574,20,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_30cm",56.3028764805414,30,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_40cm",22.0812182741117,40,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_50cm",6.76818950930626,50,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_60cm",1.6497461928934,60,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_70cm",0.860124083474337,70,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_80cm",0.50761421319797,80,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_90cm",0.253807106598985,90,"Acadian Mixed"
"Acadian Mixed",8,1,"dbh_100cm",0,100,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_10cm",530.625701459035,10,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_20cm",197.109988776655,20,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_30cm",60.9848484848485,30,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_40cm",24.2424242424242,40,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_50cm",7.15488215488215,50,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_60cm",2.02020202020202,60,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_70cm",0.729517396184063,70,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_80cm",0.505050505050505,80,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_90cm",0.252525252525253,90,"Acadian Mixed"
"Acadian Mixed",8,2,"dbh_100cm",0,100,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_10cm",522.530864197531,10,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_20cm",199.83164983165,20,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_30cm",60.5639730639731,30,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_40cm",26.3608305274972,40,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_50cm",8.36139169472503,50,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_60cm",1.8658810325477,60,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_70cm",1.10830527497194,70,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_80cm",0.631313131313131,80,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_90cm",0.252525252525253,90,"Acadian Mixed"
"Acadian Mixed",8,3,"dbh_100cm",0,100,"Acadian Mixed"
"Appalachian Mesic",7,1,"dbh_10cm",189.895688915297,10,"Appalachian Mesic"
