Network,park,park_full
ERMN,ALPO,Allegheny Portage Railroad National Historic Site
ERMN,BLUE,Bluestone National Scenic River
ERMN,DEWA,Delaware Water Gap National Recreation Area
ERMN,FONE,Fort Necessity National Battlefield
ERMN,FRHI,Friendship Hill National Historic Site
ERMN,GARI,Gauley River National Recreation Area
ERMN,JOFL,Johnstown Flood National Memorial
ERMN,NERI,New River Gorge National Park and Preserve
MIDN,APCO,Appomattox Court House National Historical Park
MIDN,BOWA,Booker T. Washington National Monument
MIDN,FRSP,Fredericksburg & Spotsylvania National Military Park
MIDN,GETT,Gettysburg National Military Park
MIDN,HOFU,Hopewell Furnace National Historic Site
MIDN,PETE,Petersburg National Battlefield
MIDN,RICH,Richmond National Battlefield Park
MIDN,VAFO,Valley Forge National Historical Park
NCBN,COLO,Colonial National Historical Park
NCBN,GEWA,George Washington Birthplace National Monument
NCBN,SAHI,Sagamore Hill National Historic Site
NCBN,THST,Thomas Stone National Historic Site
NCRN,ANTI,Antietam National Battlefield
NCRN,CATO,Catoctin Mountain Park
NCRN,CHOH,Chesapeake and Ohio Canal National Historical Park
NCRN,GWMP,George Washington Memorial Parkway
NCRN,HAFE,Harpers Ferry National Historical Park
NCRN,MANA,Manassas National Battlefield Park
NCRN,MONO,Monocacy National Battlefield
NCRN,NACE,National Capital Parks East
NCRN,PRWI,Prince William Forest Park
NCRN,ROCR,Rock Creek Park
NCRN,WOTR,Wolf Trap Park for the Performing Arts
NETN,ACAD,Acadia National Park
NETN,MABI,Marsh-Billings-Rockefeller National Historical Park
NETN,MIMA,Minute Man National Historical Park
NETN,MORR,Morristown National Historical Park
NETN,ROVA,Roosevelt-Vanderbilt National Historic Sites
NETN,SAGA,Saint-Gaudens National Historical Park
NETN,SARA,Saratoga National Historical Park
NETN,WEFA,Weir Farm National Historical Park
