"park","Network","metric","mean","lower95","upper95"
"ALPO","ERMN","stock_final",10.4318181818182,5.00795454545455,17.0255681818182
"BLUE","ERMN","stock_final",18.98125,11.2415625,28.8146875
"DEWA","ERMN","stock_final",47.4575,33.0314901960784,64.7944399509804
"FONE","ERMN","stock_final",35.4,17.8746875,54.954375
"FRHI","ERMN","stock_final",14.55,7.809375,22.7646875
"GARI","ERMN","stock_final",39.2916666666667,25.2436046511628,56.4083817829457
"JOFL","ERMN","stock_final",16.8333333333333,8.06197916666667,28.1046875
"NERI","ERMN","stock_final",34.5808823529412,26.7694852941176,43.7370098039216
"APCO","MIDN","stock_final",54.8601417520351,33.6772321429234,77.776384837042
"BOWA","MIDN","stock_final",66.0086363045734,21.9456392846619,127.874819367989
"COLO","NCBN","stock_final",26.1689757125801,10.0189377883534,45.0922479125733
"FRSP","MIDN","stock_final",31.1987814285923,22.9282219637595,40.0001932737315
"GETT","MIDN","stock_final",88.7328602082545,49.9244593662047,135.385253218192
"GEWA","NCBN","stock_final",11.8298225312815,2.87979326579064,27.3736865720709
"HOFU","MIDN","stock_final",51.4826597667887,11.2811880895193,113.790914062986
"PETE","MIDN","stock_final",35.2103827930091,23.0375461461545,50.462855481376
"RICH","MIDN","stock_final",29.7108387916173,16.8082702328904,46.7248813059685
"SAHI","NCBN","stock_final",10.2687962205506,2.09439510239319,20.8189318610282
"THST","NCBN","stock_final",8.52802013560028,0.913025364949536,17.5821787879415
"VAFO","MIDN","stock_final",4.60577210907875,2.58059396544876,6.93101476503516
"ANTI","NCRN","stock_final",20.1059593289266,7.01276793512977,34.8484811669789
"CATO","NCRN","stock_final",3.03902291938279,1.94473053040655,4.30313703940695
"CHOH","NCRN","stock_final",4.56475373828179,2.84029128501171,6.7107581877783
"GWMP","NCRN","stock_final",13.2454932286097,2.84967013000596,30.6588679015611
"HAFE","NCRN","stock_final",3.16894869856888,1.05501356404776,5.81048831527451
"MANA","NCRN","stock_final",11.5697472639643,2.83074326375937,26.504437865453
"MONO","NCRN","stock_final",41.086668123832,3.07177948351003,114.589414852035
"NACE","NCRN","stock_final",27.0774995256338,13.1649454761271,47.4362421901005
"PRWI","NCRN","stock_final",38.9640796833687,25.1452252623187,58.4262971380239
"ROCR","NCRN","stock_final",27.2345643702642,15.0592205539861,40.3586393777851
"WOTR","NCRN","stock_final",29.2121319487317,2.79252680319093,62.8266670917052
"ACAD","NETN","stock_final",61.3768939393939,50.0238636363636,72.8488162878788
"MABI","NETN","stock_final",62.25,31.4121527777778,95.9725694444445
"MIMA","NETN","stock_final",16.55,9.13041666666667,25.4504166666667
"MORR","NETN","stock_final",45.9166666666667,6.12946428571428,130.497321428571
"ROVA","NETN","stock_final",17.7333333333333,10.1491666666667,24.87875
"SAGA","NETN","stock_final",25.968253968254,13.7285714285714,43.0662698412698
"SARA","NETN","stock_final",17.2083333333333,2.89583333333333,43.96171875
"WEFA","NETN","stock_final",6.90000000000001,2.96666666666667,11.1333333333333
"ALPO","ERMN","Sap_Dens_Total",0.0678021262746799,0.0352571056628336,0.109410031098575
"BLUE","ERMN","Sap_Dens_Total",0.0601630867143994,0.0397772474144789,0.0840542959427207
"DEWA","ERMN","Sap_Dens_Total",0.0654335719968178,0.0463921646622054,0.0864497775763818
"FONE","ERMN","Sap_Dens_Total",0.0596658711217184,0.0308273667462212,0.0925069610182976
"FRHI","ERMN","Sap_Dens_Total",0.0447494033412888,0.0198886237072395,0.071599045346062
"GARI","ERMN","Sap_Dens_Total",0.118384664924044,0.0823853320360684,0.151727843456489
"JOFL","ERMN","Sap_Dens_Total",0.0662954123574649,0.0397772474144789,0.0977857332272607
"NERI","ERMN","Sap_Dens_Total",0.0914486717519148,0.0783845757873555,0.105682686758076
"APCO","MIDN","Sap_Dens_Total",0.185709232401839,0.136428908316068,0.235821247494399
"BOWA","MIDN","Sap_Dens_Total",0.154757693668199,0.12380615493456,0.187183115198679
"COLO","NCBN","Sap_Dens_Total",0.117659750079652,0.0865370423332589,0.150929283103408
"FRSP","MIDN","Sap_Dens_Total",0.110314458563486,0.0968199278024181,0.123695613724797
"GETT","MIDN","Sap_Dens_Total",0.176865935620799,0.124699417235675,0.242261668685439
"GEWA","NCBN","Sap_Dens_Total",0.0722202570451598,0.0383209527178399,0.10906732696616
"HOFU","MIDN","Sap_Dens_Total",0.0257929489446999,0.01179106237472,0.0398132590496404
"PETE","MIDN","Sap_Dens_Total",0.113602350956437,0.0904737286060244,0.138998485301987
"RICH","MIDN","Sap_Dens_Total",0.13743957080533,0.104258784341469,0.17208502829855
"SAHI","NCBN","Sap_Dens_Total",0.0412687183115198,0.0206343591557599,0.0560075462799198
"THST","NCBN","Sap_Dens_Total",0.0663247258577997,0.0368102228510789,0.10169791298196
"VAFO","MIDN","Sap_Dens_Total",0.0328465309010056,0.0185288123031314,0.0518069803089258
"ANTI","NCRN","Sap_Dens_Total",0.107026566170535,0.0544202878833229,0.180493954813021
"CATO","NCRN","Sap_Dens_Total",0.021175785489293,0.0144380355608816,0.0283948032697338
"CHOH","NCRN","Sap_Dens_Total",0.103604134732539,0.0798647958181033,0.131120543961011
"GWMP","NCRN","Sap_Dens_Total",0.0925598396415517,0.0595448649923358,0.127933026765712
"HAFE","NCRN","Sap_Dens_Total",0.0943284989977597,0.0530450418582714,0.145059544864992
"MANA","NCRN","Sap_Dens_Total",0.056874536160414,0.0270500842714164,0.101264418041713
"MONO","NCRN","Sap_Dens_Total",0.110049915497387,0.0235624729788154,0.254686947293952
"NACE","NCRN","Sap_Dens_Total",0.101452265849153,0.0759049640372598,0.128479591636206
"PRWI","NCRN","Sap_Dens_Total",0.121163330609191,0.104737160956133,0.138488060532875
"ROCR","NCRN","Sap_Dens_Total",0.0868815122347787,0.0533545572456078,0.12413196060544
"WOTR","NCRN","Sap_Dens_Total",0.0530597806862399,0.0294776559367999,0.0845517431120546
"ACAD","NETN","Sap_Dens_Total",0.209734577276343,0.180952574672742,0.245601902075649
"MABI","NETN","Sap_Dens_Total",0.134800671793512,0.102757889154071,0.171263148590118
"MIMA","NETN","Sap_Dens_Total",0.102094935030496,0.0822063113232564,0.127287191726332
"MORR","NETN","Sap_Dens_Total",0.0994431185361973,0.0795544948289578,0.136402810925484
"ROVA","NETN","Sap_Dens_Total",0.100106072659772,0.0914876690533015,0.110713338636966
"SAGA","NETN","Sap_Dens_Total",0.13385359447412,0.106072659771944,0.169211147731434
"SARA","NETN","Sap_Dens_Total",0.111044815698754,0.0870127287191726,0.150822063113233
"WEFA","NETN","Sap_Dens_Total",0.0822063113232564,0.0795544948289578,0.0875099443118537
"ALPO","ERMN","Seed_Dens_Total",0.55236132205106,0.384189448181095,0.744015332320822
"BLUE","ERMN","Seed_Dens_Total",1.87649164677804,1.21713404932379,2.65821400159109
"DEWA","ERMN","Seed_Dens_Total",1.15950676213206,0.857807389728631,1.50611525949731
"FONE","ERMN","Seed_Dens_Total",2.33691328560064,1.54335719968178,3.09889618138425
"FRHI","ERMN","Seed_Dens_Total",1.26988862370724,0.634322792362768,2.03485481304694
"GARI","ERMN","Seed_Dens_Total",0.942815471455089,0.687891990897486,1.23682956837061
"JOFL","ERMN","Seed_Dens_Total",1.51485017236807,0.636435958631663,2.77636900026518
"NERI","ERMN","Seed_Dens_Total",1.26975213315239,0.971900494485781,1.64084557848597
"APCO","MIDN","Seed_Dens_Total",1.25892857142857,0.738095238095238,1.89002976190476
"BOWA","MIDN","Seed_Dens_Total",3.28125,1.86458333333333,4.86510416666667
"COLO","NCBN","Seed_Dens_Total",1.36524822695035,0.806534426713948,2.05871453900709
"FRSP","MIDN","Seed_Dens_Total",0.957532051282052,0.719491185897436,1.22680288461538
"GETT","MIDN","Seed_Dens_Total",2.53787878787879,1.85599747474747,3.26287878787879
"GEWA","NCBN","Seed_Dens_Total",0.458333333333334,0.25,0.65625
"HOFU","MIDN","Seed_Dens_Total",1.578125,0.671744791666667,2.89596354166667
"PETE","MIDN","Seed_Dens_Total",0.806089743589744,0.403846153846154,1.40576923076923
"RICH","MIDN","Seed_Dens_Total",0.5625,0.341145833333333,0.856901041666666
"SAHI","NCBN","Seed_Dens_Total",0.458333333333333,0.0833333333333335,0.833333333333333
"THST","NCBN","Seed_Dens_Total",0.260416666666667,0.135416666666667,0.40625
"VAFO","MIDN","Seed_Dens_Total",0.589285714285715,0.363095238095238,0.851339285714287
"ANTI","NCRN","Seed_Dens_Total",1.30769230769231,0.705128205128205,2.02003205128205
"CATO","NCRN","Seed_Dens_Total",0.753472222222222,0.397559286347518,1.18072916666667
"CHOH","NCRN","Seed_Dens_Total",0.588963963963964,0.452003424657534,0.725273818338886
"GWMP","NCRN","Seed_Dens_Total",0.795833333333334,0.3875,1.2959375
"HAFE","NCRN","Seed_Dens_Total",0.666666666666667,0.433333333333333,0.908333333333333
"MANA","NCRN","Seed_Dens_Total",0.794117647058823,0.308823529411764,1.4265931372549
"MONO","NCRN","Seed_Dens_Total",0.444444444444444,0.2,0.755555555555556
"NACE","NCRN","Seed_Dens_Total",0.606382978723404,0.399286684782608,0.87866847826087
"PRWI","NCRN","Seed_Dens_Total",0.463793103448276,0.351149425287356,0.596034482758621
"ROCR","NCRN","Seed_Dens_Total",0.596491228070176,0.175438596491228,1.21491228070175
"WOTR","NCRN","Seed_Dens_Total",2.25,0.75,4.07083333333333
"ACAD","NETN","Seed_Dens_Total",0.512584074636581,0.398940177430631,0.636921873869965
"MABI","NETN","Seed_Dens_Total",0.997745955979846,0.631988641386016,1.39888844691947
"MIMA","NETN","Seed_Dens_Total",0.343410236011668,0.200178997613365,0.50653009811721
"MORR","NETN","Seed_Dens_Total",0.55877561844149,0.294422661666099,0.859188544152744
"ROVA","NETN","Seed_Dens_Total",0.623839830283744,0.399744762662424,0.884496817820207
"SAGA","NETN","Seed_Dens_Total",0.218459168339837,0.118668788119862,0.351081562298746
"SARA","NETN","Seed_Dens_Total",1.05824051975603,0.696039677804296,1.60352028639618
"WEFA","NETN","Seed_Dens_Total",0.485282418456643,0.222752585521082,0.824847520551579
"ALPO","ERMN","Sap_Dens_NatCan",0.0117523685542779,0.00452014175164534,0.0207926520575685
"BLUE","ERMN","Sap_Dens_NatCan",0.0397772474144789,0.0288385043754972,0.0517104216388226
"DEWA","ERMN","Sap_Dens_NatCan",0.0544948289578361,0.0383235133253779,0.0747850421478107
"FONE","ERMN","Sap_Dens_NatCan",0.0328162291169451,0.0149164677804296,0.0546937151949085
"FRHI","ERMN","Sap_Dens_NatCan",0.0228719172633254,0.00994431185361974,0.037788385043755
"GARI","ERMN","Sap_Dens_NatCan",0.0781338788498693,0.052558460079998,0.108440353070425
"JOFL","ERMN","Sap_Dens_NatCan",0.0381198621055423,0.0165738530893662,0.0580084858127818
"NERI","ERMN","Sap_Dens_NatCan",0.0670753583851998,0.0557612663203706,0.0787794234638963
"APCO","MIDN","Sap_Dens_NatCan",0.127596139269291,0.0880118584398741,0.168454275944548
"BOWA","MIDN","Sap_Dens_NatCan",0.0795896710293598,0.0427426011083599,0.117947470817121
"COLO","NCBN","Sap_Dens_NatCan",0.0353731871241599,0.019649680010637,0.0569901348111465
"FRSP","MIDN","Sap_Dens_NatCan",0.0639438382629044,0.0527111507169873,0.0746011446400552
"GETT","MIDN","Sap_Dens_NatCan",0.0643148856802907,0.0357215594215948,0.0975621085277966
"GEWA","NCBN","Sap_Dens_NatCan",0.01179106237472,0,0.0324254215304799
"HOFU","MIDN","Sap_Dens_NatCan",0.01547576936682,0.00442164839051999,0.0280037731399599
"PETE","MIDN","Sap_Dens_NatCan",0.0877527142118582,0.0705139542688181,0.107480068569563
"RICH","MIDN","Sap_Dens_NatCan",0.0711148449475297,0.0449350017686594,0.1017255482844
"SAHI","NCBN","Sap_Dens_NatCan",0.0206343591557599,0.00589553118736,0.0353731871241599
"THST","NCBN","Sap_Dens_NatCan",0.0280037731399599,0.01179106237472,0.0442164839051999
"VAFO","MIDN","Sap_Dens_NatCan",0.0202132497852342,0.0134649721225597,0.0273826368184345
"ANTI","NCRN","Sap_Dens_NatCan",0.0371871967202706,0.0235821247494399,0.0526062782872121
"CATO","NCRN","Sap_Dens_NatCan",0.0122723302267493,0.00818155348449957,0.0166037408950138
