"term","estimate","lower95","upper95","num_boots","park","resp","Network","lat_rank","park_ord","network_ord","strp_col"
"Intercept",0.62408584004286,0.417467248341823,0.814631961387014,1000,"ALPO","Hor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0156932005385454,-0.0873560244390143,0.0529869005623908,1000,"ALPO","Hor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.608392639504315,0.440947343399788,0.758741445819772,1000,"ALPO","Hor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.592699438965769,0.43454811770886,0.735164352847579,1000,"ALPO","Hor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.577006238427224,0.40480480731608,0.74550593247557,1000,"ALPO","Hor_sap","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.588133626615625,0.453688114040311,0.707030257333456,1000,"ALPO","Hor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",0.0664857479009412,0.0167707355236874,0.125823433364655,1000,"ALPO","Hor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.654619374516566,0.564346455483059,0.741354822772931,1000,"ALPO","Hor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.721105122417507,0.640292948679049,0.790080082722878,1000,"ALPO","Hor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.787590870318448,0.685275308030378,0.876143500527266,1000,"ALPO","Hor_seed","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.0653278742417896,-0.00104909272108275,0.165663930907367,984,"ALPO","Sap_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0152734700707614,-0.0456538562262538,0.00365156007604476,984,"ALPO","Sap_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.0500544041710282,-0.000262273180270688,0.120308407223035,984,"ALPO","Sap_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.0347809341002668,0.00151710135471575,0.0797211184977094,984,"ALPO","Sap_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.0195074640295053,0.0013937424655808,0.048969572552211,984,"ALPO","Sap_BA_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.447383521520059,0.139740326091388,0.842856445590352,1000,"ALPO","Sap_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.0440358635942997,-0.103054683616662,0.00649777688383089,1000,"ALPO","Sap_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.40334765792576,0.139565955381751,0.74432280049923,1000,"ALPO","Sap_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.35931179433146,0.128124578206882,0.66922323509613,1000,"ALPO","Sap_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.31527593073716,0.0978411122421781,0.595142973472343,1000,"ALPO","Sap_BA_NatCan","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.40802501213852,0.213399109017907,0.620297340898691,1000,"ALPO","Sap_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",0.0147308244780531,-0.0502823610968013,0.0978168053088899,1000,"ALPO","Sap_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.422755836616573,0.219720401128987,0.670050045788414,1000,"ALPO","Sap_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.437486661094626,0.207383741899225,0.712911329623598,1000,"ALPO","Sap_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.452217485572679,0.184776782898475,0.775839494139806,1000,"ALPO","Sap_BA_NatOth","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.921601021931269,0.549600958574944,1.39757500063573,1000,"ALPO","Sap_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.045226969710189,-0.147670911644789,0.0554895501099538,1000,"ALPO","Sap_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c1_response",0.87637405222108,0.54387544341035,1.31775197837384,1000,"ALPO","Sap_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c2_response",0.831147082510891,0.497950834938108,1.24461150857298,1000,"ALPO","Sap_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"c3_response",0.785920112800702,0.431814338473726,1.21906808124502,1000,"ALPO","Sap_BA_Total","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Intercept",0.00329733023930328,-0.00109411465322468,0.0084830198104618,964,"ALPO","Sap_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
"Slope",-0.000401266043306674,-0.00205695793278806,0.00122804928754394,964,"ALPO","Sap_Dens_Exotic","ERMN",29,"ALPO","ERMN","#A5BDCD"
