"term","estimate","lower95","upper95","num_boots","Macrogroup","resp"
"Intercept",0.536017224598001,0.482680991770272,0.598417084972841,999,"Appalachian-Interior-Northeastern Mesic Forest","Hor_sap"
"Slope",-0.0164099555858635,-0.0350381988770218,0.000663981756061461,999,"Appalachian-Interior-Northeastern Mesic Forest","Hor_sap"
"c1_response",0.519607269012137,0.473387998880051,0.573407859630047,999,"Appalachian-Interior-Northeastern Mesic Forest","Hor_sap"
"c2_response",0.503197313426274,0.458304101049267,0.557080538083039,999,"Appalachian-Interior-Northeastern Mesic Forest","Hor_sap"
"c3_response",0.486787357840411,0.436527574251788,0.543762679039764,999,"Appalachian-Interior-Northeastern Mesic Forest","Hor_sap"
"Intercept",0.608393367576228,0.543018027701109,0.675702000390064,993,"Appalachian-Interior-Northeastern Mesic Forest","Hor_seed"
"Slope",0.0350476383170015,0.00976700639932053,0.0582033020394361,993,"Appalachian-Interior-Northeastern Mesic Forest","Hor_seed"
"c1_response",0.64344100589323,0.591459027910612,0.697652555120732,993,"Appalachian-Interior-Northeastern Mesic Forest","Hor_seed"
"c2_response",0.678488644210231,0.632255454438378,0.723109015842755,993,"Appalachian-Interior-Northeastern Mesic Forest","Hor_seed"
"c3_response",0.713536282527233,0.661589253719175,0.760353090412209,993,"Appalachian-Interior-Northeastern Mesic Forest","Hor_seed"
"Intercept",0.00972786639359258,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Exotic"
"Slope",0.00193099008131006,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Exotic"
"c1_response",0.0116588564749026,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Exotic"
"c2_response",0.0135898465562127,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Exotic"
"c3_response",0.0155208366375227,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Exotic"
"Intercept",1.04996318588188,0.850239437871351,1.27511521202211,988,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatCan"
"Slope",-0.081595111105717,-0.135281967376978,-0.0337177847867993,988,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatCan"
"c1_response",0.968368074776167,0.800785852990367,1.17223153288035,988,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatCan"
"c2_response",0.88677296367045,0.732630693024925,1.07873881485514,988,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatCan"
"c3_response",0.805177852564733,0.651537926974382,0.999302301466294,988,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatCan"
"Intercept",0.283799544521133,0.173994250827869,0.409937103642003,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatOth"
"Slope",-0.00266657974854315,-0.0281936256354621,0.0186960596242633,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatOth"
"c1_response",0.281132964772589,0.178147889450769,0.393854561483039,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatOth"
"c2_response",0.278466385024046,0.180220517526799,0.381235061792627,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatOth"
"c3_response",0.275799805275503,0.179591758761239,0.376122839293959,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_NatOth"
"Intercept",1.29252949131819,1.06052389713764,1.6493542377404,994,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Total"
"Slope",-0.0824479449551677,-0.138079231709203,-0.0258017254965709,994,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Total"
"c1_response",1.21008154636303,1.00490412831345,1.53884467638862,994,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Total"
"c2_response",1.12763360140786,0.954408564585112,1.43096074148427,994,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Total"
"c3_response",1.04518565645269,0.864631189018583,1.33712658887468,994,"Appalachian-Interior-Northeastern Mesic Forest","Sap_BA_Total"
"Intercept",0.00151866855218226,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Exotic"
"Slope",0.0000542605990274716,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Exotic"
"c1_response",0.00157292915120973,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Exotic"
"c2_response",0.0016271897502372,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Exotic"
"c3_response",0.00168145034926467,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Exotic"
"Intercept",0.0579142696172503,0.046264189401465,0.0722873812913843,998,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatCan"
"Slope",-0.0052461963903305,-0.0085350949431282,-0.00238673062975428,998,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatCan"
"c1_response",0.0526680732269198,0.0425706557362586,0.0647108428189795,998,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatCan"
"c2_response",0.0474218768365893,0.0385037935393041,0.0574536885479048,998,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatCan"
"c3_response",0.0421756804462588,0.0339472373685339,0.0514935252780862,998,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatCan"
"Intercept",0.0381083430719526,0.0267304602317117,0.0526940511870719,999,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatOth"
"Slope",-0.000999463979895731,-0.00369446586263805,0.00151999682526567,999,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatOth"
"c1_response",0.0371088790920569,0.0263163267165685,0.0510393417214233,999,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatOth"
"c2_response",0.0361094151121612,0.025177516527613,0.0491791226870647,999,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatOth"
"c3_response",0.0351099511322655,0.0238387936693677,0.0487418802538338,999,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_NatOth"
"Intercept",0.103170701735623,0.0842048582860084,0.127958943887938,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Total"
"Slope",-0.00592420292833398,-0.0102509419208954,-0.00193367129560046,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Total"
"c1_response",0.0972464988072891,0.07966720771874,0.118146865245919,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Total"
"c2_response",0.0913222958789551,0.0747179964497837,0.109639863786723,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Total"
"c3_response",0.0853980929506211,0.0692800707300881,0.101920828347069,997,"Appalachian-Interior-Northeastern Mesic Forest","Sap_Dens_Total"
"Intercept",0.0234724792579794,0.000353866217503625,0.0522079909106881,998,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Exotic"
"Slope",0.0104253093153225,0.00337397134832036,0.0186816217449764,998,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Exotic"
"c1_response",0.0338977885733019,0.0113767881347863,0.0616669554073806,998,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Exotic"
"c2_response",0.0443230978886244,0.0210866958915697,0.0726981784863439,998,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Exotic"
"c3_response",0.0547484072039468,0.0281065996831847,0.0845626411906097,998,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Exotic"
"Intercept",0.239339886665832,0.105387682798269,0.38310165196318,993,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatCan"
"Slope",0.0514812350696172,0.00223941095957277,0.106628076146056,993,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatCan"
"c1_response",0.290821121735449,0.196041219011095,0.398060950056788,993,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatCan"
"c2_response",0.342302356805066,0.263049945702975,0.441769094459075,993,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatCan"
"c3_response",0.393783591874683,0.30111722819278,0.513231026063202,993,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatCan"
"Intercept",0.258667355234859,0.0847301677440419,0.50707877974254,992,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatOth"
"Slope",0.122811782860286,0.0667079632335759,0.189031512804404,992,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatOth"
"c1_response",0.381479138095145,0.222090214590089,0.606376165115171,992,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatOth"
"c2_response",0.504290920955431,0.339579457170645,0.732249829112724,992,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatOth"
"c3_response",0.627102703815718,0.439018816988511,0.87456110109352,992,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_NatOth"
"Intercept",0.515800100639044,0.270161372551142,0.853590268481632,994,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Total"
"Slope",0.184919397839267,0.104006658352167,0.275060445087836,994,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Total"
"c1_response",0.700719498478311,0.483478843885545,1.02799082113045,994,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Total"
"c2_response",0.885638896317578,0.663249291102406,1.21812444139175,994,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Total"
"c3_response",1.07055829415684,0.809466743644159,1.43546840828669,994,"Appalachian-Interior-Northeastern Mesic Forest","Seed_Dens_Total"
"Intercept",0.259593322083841,0.228780857330166,0.299770420159503,987,"Appalachian-Interior-Northeastern Mesic Forest","Sor_sap"
"Slope",-0.0205478894411661,-0.0315472503106685,-0.0102397236273656,987,"Appalachian-Interior-Northeastern Mesic Forest","Sor_sap"
"c1_response",0.239045432642675,0.212385460948868,0.271830430809997,987,"Appalachian-Interior-Northeastern Mesic Forest","Sor_sap"
"c2_response",0.218497543201509,0.193373606386042,0.248833284040119,987,"Appalachian-Interior-Northeastern Mesic Forest","Sor_sap"
"c3_response",0.197949653760343,0.170538380352975,0.230808087013291,987,"Appalachian-Interior-Northeastern Mesic Forest","Sor_sap"
"Intercept",0.223227297250365,0.17415542022783,0.264708492446343,997,"Appalachian-Interior-Northeastern Mesic Forest","Sor_seed"
"Slope",0.0194663313072141,0.00318377210416485,0.0361669251729392,997,"Appalachian-Interior-Northeastern Mesic Forest","Sor_seed"
"c1_response",0.242693628557579,0.204341482051608,0.273818694929772,997,"Appalachian-Interior-Northeastern Mesic Forest","Sor_seed"
"c2_response",0.262159959864793,0.227179457823057,0.292480855680258,997,"Appalachian-Interior-Northeastern Mesic Forest","Sor_seed"
"c3_response",0.281626291172007,0.24234118598261,0.317375124532238,997,"Appalachian-Interior-Northeastern Mesic Forest","Sor_seed"
"Intercept",28.1450958294568,20.0910637003218,36.0896474539976,985,"Appalachian-Interior-Northeastern Mesic Forest","stock_final"
"Slope",-0.4699555536196,-3.25051889710286,2.08876113221412,985,"Appalachian-Interior-Northeastern Mesic Forest","stock_final"
"c1_response",27.6751402758372,21.3901080915438,34.0412844193952,985,"Appalachian-Interior-Northeastern Mesic Forest","stock_final"
"c2_response",27.2051847222176,21.5418244157618,32.6500402912218,985,"Appalachian-Interior-Northeastern Mesic Forest","stock_final"
"c3_response",26.735229168598,20.9305240074199,32.9618525475539,985,"Appalachian-Interior-Northeastern Mesic Forest","stock_final"
"Intercept",0.0251602757297302,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"Slope",-0.00212404928348725,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"c1_response",0.023036226446243,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"c2_response",0.0209121771627557,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"c3_response",0.0187881278792685,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Exotic"
"Intercept",2.95269425404632,2.59733855825406,3.28224115071505,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"Slope",-0.177039696015324,-0.243291626540193,-0.109708066095552,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"c1_response",2.77565455803099,2.44633184406716,3.05216409448654,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"c2_response",2.59861486201567,2.30293216513471,2.85670143732551,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"c3_response",2.42157516600034,2.14754723706973,2.65700673446585,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatCan"
"Intercept",0.349657013326379,0.264210413583432,0.436245185673849,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"Slope",-0.0273503793755287,-0.043081669534156,-0.0117526475699291,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"c1_response",0.32230663395085,0.239567583244834,0.406280901554177,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"c2_response",0.294956254575322,0.216579658546876,0.378699004038727,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"c3_response",0.267605875199793,0.188982320343261,0.353363867417667,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_NatOth"
"Intercept",3.31852815574193,2.94003617864584,3.68257860290148,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"Slope",-0.206456977831896,-0.27323584806439,-0.138617438410844,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"c1_response",3.11207117791003,2.77291961508752,3.43629246449097,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"c2_response",2.90561420007813,2.5906255320723,3.19799722537194,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"c3_response",2.69915722224624,2.40454772598677,2.97953990827955,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_BA_Total"
"Intercept",1.56071853841242,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"Slope",-0.0421906051127849,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"c1_response",1.51852793329964,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"c2_response",1.47633732818685,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"c3_response",1.43414672307407,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Exotic"
"Intercept",173.397067068059,151.598429652157,192.110024808662,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"Slope",-10.7078665687125,-14.2684412424395,-7.05723309267209,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"c1_response",162.689200499346,143.186918795137,178.860646312581,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"c2_response",151.981333930633,134.215292876787,167.009005326967,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"c3_response",141.273467361921,124.843823016485,156.331856013443,1000,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatCan"
"Intercept",23.2282631223103,17.53044444824,29.7219785293451,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"Slope",-1.95868488456023,-3.02533013178198,-0.949535145104394,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"c1_response",21.2695782377501,16.2474927016266,27.2147553052161,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"c2_response",19.3108933531899,14.7100583225057,25.0085929674742,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"c3_response",17.3522084686296,12.8539084711689,23.0755866929545,998,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_NatOth"
"Intercept",197.96621025943,177.063548374713,217.196668663843,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"Slope",-12.7055107044676,-16.7888637700102,-9.04107238246028,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"c1_response",185.260699554962,166.000963951154,201.781304698817,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"c2_response",172.555188850494,153.898105557598,187.71804373169,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"c3_response",159.849678146027,142.213254771247,173.691093377961,999,"Appalachian-Interior-Northeastern Mesic Forest","tree_10cm_Dens_Total"
"Intercept",0.0624469566139806,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Exotic"
"Slope",-0.00909144400186022,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Exotic"
"c1_response",0.0533555126121203,NA,NA,NA,"Appalachian-Interior-Northeastern Mesic Forest","tree_20cm_BA_Exotic"
