"park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order"
"ACAD",1,"Sapling Density","Status","caution",0,"Sec.","Sapling Density"
"ACAD",2,"Seedling Density","Status","caution",0,"Sec.","Seedling Density"
"ACAD",3,"% Stocked Plots","Status","caution",0,"Sec.","% Stocked Plots"
"ACAD",4,"Stocking Index","Status","caution",0,"Sec.","Stocking Index"
"ACAD",9,"Deer Browse Impacts","Status","acceptable",0,"Sec.","Deer Browse Impacts"
"ACAD",10,"Flat Tree Diam. Dist.","Status","acceptable",0,"Sec.","Flat Tree Diam. Dist."
"ACAD",5,"Sapling Composition","Status","acceptable",0,"Sec.","Sapling Composition"
"ACAD",6,"Seedling Composition","Status","acceptable",0,"Sec.","Seedling Composition"
"ACAD",7,"Sorensen Sapling","Status","acceptable",0,"Sec.","Sorensen Sapling"
"ACAD",8,"Sorensen Seedling","Status","acceptable",0,"Sec.","Sorensen Seedling"
"ACAD",10,"Tree BA","Total","signinc_good",0,"Sec.","Tree BA"
"ACAD",11,"Tree Density","Total","signinc_good",0,"Sec.","Tree Density"
"ACAD",12,"Sapling BA","Total","signdec_bad",0,"Sec.","Sapling BA"
"ACAD",13,"Sapling Density","Total","signdec_bad",0,"Sec.","Sapling Density"
"ACAD",14,"Seedling Density","Total","signinc_good",0,"Sec.","Seedling Density"
"ACAD",15,"Tree BA","Native Canopy","signinc_good",0,"Sec.","Tree BA"
"ACAD",16,"Tree Density","Native Canopy","signinc_good",0,"Sec.","Tree Density"
"ACAD",17,"Sapling BA","Native Canopy","signdec_bad",0,"Sec.","Sapling BA"
"ACAD",18,"Sapling Density","Native Canopy","signdec_bad",0,"Sec.","Sapling Density"
"ACAD",19,"Seedling Density","Native Canopy","signinc_good",0,"Sec.","Seedling Density"
"ACAD",30,"Stocking Index","Native Canopy","nonsign",0,"Sec.","Stocking Index"
"ACAD",20,"Tree BA","Native Subcan.","nonsign",0,"Sec.","Tree BA"
"ACAD",21,"Tree Density","Native Subcan.","nonsign",0,"Sec.","Tree Density"
"ACAD",22,"Sapling BA","Native Subcan.","nonsign",0,"Sec.","Sapling BA"
"ACAD",23,"Sapling Density","Native Subcan.","nonsign",0,"Sec.","Sapling Density"
"ACAD",24,"Seedling Density","Native Subcan.","signinc_good",0,"Sec.","Seedling Density"
"ACAD",25,"Tree BA","Exotic","notmod",0,"Sec.","Tree BA"
"ACAD",26,"Tree Density","Exotic","notmod",0,"Sec.","Tree Density"
"ACAD",27,"Sapling BA","Exotic","notmod",0,"Sec.","Sapling BA"
"ACAD",28,"Sapling Density","Exotic","notmod",0,"Sec.","Sapling Density"
"ACAD",29,"Seedling Density","Exotic","notmod",0,"Sec.","Seedling Density"
"ALPO",1,"Sapling Density","Status","critical",5,"Probable Failure","Sapling Density"
"ALPO",2,"Seedling Density","Status","caution",5,"Probable Failure","Seedling Density"
"ALPO",3,"% Stocked Plots","Status","critical",5,"Probable Failure","% Stocked Plots"
"ALPO",4,"Stocking Index","Status","critical",5,"Probable Failure","Stocking Index"
"ALPO",9,"Deer Browse Impacts","Status","caution",5,"Probable Failure","Deer Browse Impacts"
"ALPO",10,"Flat Tree Diam. Dist.","Status","acceptable",5,"Probable Failure","Flat Tree Diam. Dist."
"ALPO",5,"Sapling Composition","Status","critical",5,"Probable Failure","Sapling Composition"
"ALPO",6,"Seedling Composition","Status","caution",5,"Probable Failure","Seedling Composition"
"ALPO",7,"Sorensen Sapling","Status","critical",5,"Probable Failure","Sorensen Sapling"
"ALPO",8,"Sorensen Seedling","Status","acceptable",5,"Probable Failure","Sorensen Seedling"
"ALPO",10,"Tree BA","Total","nonsign",5,"Probable Failure","Tree BA"
"ALPO",11,"Tree Density","Total","signdec_bad",5,"Probable Failure","Tree Density"
"ALPO",12,"Sapling BA","Total","nonsign",5,"Probable Failure","Sapling BA"
"ALPO",13,"Sapling Density","Total","signdec_bad",5,"Probable Failure","Sapling Density"
"ALPO",14,"Seedling Density","Total","signdec_bad",5,"Probable Failure","Seedling Density"
"ALPO",15,"Tree BA","Native Canopy","signinc_good",5,"Probable Failure","Tree BA"
"ALPO",16,"Tree Density","Native Canopy","signdec_bad",5,"Probable Failure","Tree Density"
"ALPO",17,"Sapling BA","Native Canopy","nonsign",5,"Probable Failure","Sapling BA"
"ALPO",18,"Sapling Density","Native Canopy","nonsign",5,"Probable Failure","Sapling Density"
"ALPO",19,"Seedling Density","Native Canopy","signdec_bad",5,"Probable Failure","Seedling Density"
"ALPO",30,"Stocking Index","Native Canopy","nonsign",5,"Probable Failure","Stocking Index"
"ALPO",20,"Tree BA","Native Subcan.","signdec_bad",5,"Probable Failure","Tree BA"
"ALPO",21,"Tree Density","Native Subcan.","signdec_bad",5,"Probable Failure","Tree Density"
"ALPO",22,"Sapling BA","Native Subcan.","nonsign",5,"Probable Failure","Sapling BA"
"ALPO",23,"Sapling Density","Native Subcan.","nonsign",5,"Probable Failure","Sapling Density"
"ALPO",24,"Seedling Density","Native Subcan.","signdec_bad",5,"Probable Failure","Seedling Density"
"ALPO",25,"Tree BA","Exotic","signdec_good",5,"Probable Failure","Tree BA"
"ALPO",26,"Tree Density","Exotic","signdec_good",5,"Probable Failure","Tree Density"
"ALPO",27,"Sapling BA","Exotic","nonsign",5,"Probable Failure","Sapling BA"
"ALPO",28,"Sapling Density","Exotic","nonsign",5,"Probable Failure","Sapling Density"
"ALPO",29,"Seedling Density","Exotic","nonsign",5,"Probable Failure","Seedling Density"
"ANTI",1,"Sapling Density","Status","critical",4,"Probable Failure","Sapling Density"
"ANTI",2,"Seedling Density","Status","caution",4,"Probable Failure","Seedling Density"
"ANTI",3,"% Stocked Plots","Status","critical",4,"Probable Failure","% Stocked Plots"
"ANTI",4,"Stocking Index","Status","critical",4,"Probable Failure","Stocking Index"
"ANTI",9,"Deer Browse Impacts","Status","caution",4,"Probable Failure","Deer Browse Impacts"
"ANTI",10,"Flat Tree Diam. Dist.","Status","acceptable",4,"Probable Failure","Flat Tree Diam. Dist."
"ANTI",5,"Sapling Composition","Status","critical",4,"Probable Failure","Sapling Composition"
"ANTI",6,"Seedling Composition","Status","caution",4,"Probable Failure","Seedling Composition"
"ANTI",7,"Sorensen Sapling","Status","acceptable",4,"Probable Failure","Sorensen Sapling"
"ANTI",8,"Sorensen Seedling","Status","acceptable",4,"Probable Failure","Sorensen Seedling"
"ANTI",10,"Tree BA","Total","nonsign",4,"Probable Failure","Tree BA"
"ANTI",11,"Tree Density","Total","nonsign",4,"Probable Failure","Tree Density"
"ANTI",12,"Sapling BA","Total","nonsign",4,"Probable Failure","Sapling BA"
"ANTI",13,"Sapling Density","Total","nonsign",4,"Probable Failure","Sapling Density"
"ANTI",14,"Seedling Density","Total","signinc_good",4,"Probable Failure","Seedling Density"
"ANTI",15,"Tree BA","Native Canopy","signinc_good",4,"Probable Failure","Tree BA"
"ANTI",16,"Tree Density","Native Canopy","signinc_good",4,"Probable Failure","Tree Density"
"ANTI",17,"Sapling BA","Native Canopy","nonsign",4,"Probable Failure","Sapling BA"
"ANTI",18,"Sapling Density","Native Canopy","signdec_bad",4,"Probable Failure","Sapling Density"
"ANTI",19,"Seedling Density","Native Canopy","nonsign",4,"Probable Failure","Seedling Density"
"ANTI",30,"Stocking Index","Native Canopy","nonsign",4,"Probable Failure","Stocking Index"
"ANTI",20,"Tree BA","Native Subcan.","signdec_bad",4,"Probable Failure","Tree BA"
"ANTI",21,"Tree Density","Native Subcan.","nonsign",4,"Probable Failure","Tree Density"
"ANTI",22,"Sapling BA","Native Subcan.","nonsign",4,"Probable Failure","Sapling BA"
"ANTI",23,"Sapling Density","Native Subcan.","nonsign",4,"Probable Failure","Sapling Density"
"ANTI",24,"Seedling Density","Native Subcan.","signinc_good",4,"Probable Failure","Seedling Density"
"ANTI",25,"Tree BA","Exotic","nonsign",4,"Probable Failure","Tree BA"
"ANTI",26,"Tree Density","Exotic","signdec_good",4,"Probable Failure","Tree Density"
"ANTI",27,"Sapling BA","Exotic","nonsign",4,"Probable Failure","Sapling BA"
"ANTI",28,"Sapling Density","Exotic","signdec_good",4,"Probable Failure","Sapling Density"
"ANTI",29,"Seedling Density","Exotic","nonsign",4,"Probable Failure","Seedling Density"
