"park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order"
"GETT",1,"Sapling Density","Status","caution",1,"Sec.","Sapling Density"
"GETT",2,"Seedling Density","Status","caution",1,"Sec.","Seedling Density"
"GETT",3,"% Stocked Plots","Status","caution",1,"Sec.","% Stocked Plots"
"GETT",4,"Stocking Index","Status","acceptable",1,"Sec.","Stocking Index"
"GETT",9,"Deer Browse Impacts","Status","caution",1,"Sec.","Deer Browse Impacts"
"GETT",10,"Flat Tree Diam. Dist.","Status","acceptable",1,"Sec.","Flat Tree Diam. Dist."
"GETT",5,"Sapling Composition","Status","caution",1,"Sec.","Sapling Composition"
"GETT",6,"Seedling Composition","Status","acceptable",1,"Sec.","Seedling Composition"
"GETT",7,"Sorensen Sapling","Status","acceptable",1,"Sec.","Sorensen Sapling"
"GETT",8,"Sorensen Seedling","Status","critical",1,"Sec.","Sorensen Seedling"
"GETT",10,"Tree BA","Total","nonsign",1,"Sec.","Tree BA"
"GETT",11,"Tree Density","Total","nonsign",1,"Sec.","Tree Density"
"GETT",12,"Sapling BA","Total","nonsign",1,"Sec.","Sapling BA"
"GETT",13,"Sapling Density","Total","signinc_good",1,"Sec.","Sapling Density"
"GETT",14,"Seedling Density","Total","nonsign",1,"Sec.","Seedling Density"
"GETT",15,"Tree BA","Native Canopy","nonsign",1,"Sec.","Tree BA"
"GETT",16,"Tree Density","Native Canopy","nonsign",1,"Sec.","Tree Density"
"GETT",17,"Sapling BA","Native Canopy","nonsign",1,"Sec.","Sapling BA"
"GETT",18,"Sapling Density","Native Canopy","signinc_good",1,"Sec.","Sapling Density"
"GETT",19,"Seedling Density","Native Canopy","nonsign",1,"Sec.","Seedling Density"
"GETT",30,"Stocking Index","Native Canopy","nonsign",1,"Sec.","Stocking Index"
"GETT",20,"Tree BA","Native Subcan.","nonsign",1,"Sec.","Tree BA"
"GETT",21,"Tree Density","Native Subcan.","nonsign",1,"Sec.","Tree Density"
"GETT",22,"Sapling BA","Native Subcan.","nonsign",1,"Sec.","Sapling BA"
"GETT",23,"Sapling Density","Native Subcan.","signinc_good",1,"Sec.","Sapling Density"
"GETT",24,"Seedling Density","Native Subcan.","signinc_good",1,"Sec.","Seedling Density"
"GETT",25,"Tree BA","Exotic","notmod",1,"Sec.","Tree BA"
"GETT",26,"Tree Density","Exotic","notmod",1,"Sec.","Tree Density"
"GETT",27,"Sapling BA","Exotic","signinc_bad",1,"Sec.","Sapling BA"
"GETT",28,"Sapling Density","Exotic","nonsign",1,"Sec.","Sapling Density"
"GETT",29,"Seedling Density","Exotic","nonsign",1,"Sec.","Seedling Density"
