"park","order","labels","metgrp","sign","num_crit","park_reggrp","label_order","type"
"GETT",1,"Sapling Density","Status","critical",5,"Probable Failure","Sapling Density","Ash Subcan."
"GETT",2,"Seedling Density","Status","caution",5,"Probable Failure","Seedling Density","Ash Subcan."
"GETT",3,"% Stocked Plots","Status","critical",5,"Probable Failure","% Stocked Plots","Ash Subcan."
"GETT",4,"Stocking Index","Status","caution",5,"Probable Failure","Stocking Index","Ash Subcan."
"GETT",5,"Sapling Composition","Status","critical",5,"Probable Failure","Sapling Composition","Ash Subcan."
"GETT",6,"Seedling Composition","Status","critical",5,"Probable Failure","Seedling Composition","Ash Subcan."
"GETT",7,"Sorensen Sapling","Status","acceptable",5,"Probable Failure","Sorensen Sapling","Ash Subcan."
"GETT",8,"Sorensen Seedling","Status","critical",5,"Probable Failure","Sorensen Seedling","Ash Subcan."
"GETT",9,"Deer Browse Impacts","Status","caution",5,"Probable Failure","Deer Browse Impacts","Ash Subcan."
"GETT",10,"Flat Tree Diam. Dist.","Status","acceptable",5,"Probable Failure","Flat Tree Diam. Dist.","Ash Subcan."
"GETT",10,"Tree BA","Total","nonsign",5,"Probable Failure","Tree BA","Ash Subcan."
"GETT",11,"Tree Density","Total","nonsign",5,"Probable Failure","Tree Density","Ash Subcan."
"GETT",12,"Sapling BA","Total","nonsign",5,"Probable Failure","Sapling BA","Ash Subcan."
"GETT",13,"Sapling Density","Total","signinc_good",5,"Probable Failure","Sapling Density","Ash Subcan."
"GETT",14,"Seedling Density","Total","nonsign",5,"Probable Failure","Seedling Density","Ash Subcan."
"GETT",15,"Tree BA","Native Canopy","nonsign",5,"Probable Failure","Tree BA","Ash Subcan."
"GETT",16,"Tree Density","Native Canopy","nonsign",5,"Probable Failure","Tree Density","Ash Subcan."
"GETT",17,"Sapling BA","Native Canopy","nonsign",5,"Probable Failure","Sapling BA","Ash Subcan."
"GETT",18,"Sapling Density","Native Canopy","nonsign",5,"Probable Failure","Sapling Density","Ash Subcan."
"GETT",19,"Seedling Density","Native Canopy","nonsign",5,"Probable Failure","Seedling Density","Ash Subcan."
"GETT",20,"Tree BA","Native Subcan.","signdec_bad",5,"Probable Failure","Tree BA","Ash Subcan."
"GETT",21,"Tree Density","Native Subcan.","nonsign",5,"Probable Failure","Tree Density","Ash Subcan."
"GETT",22,"Sapling BA","Native Subcan.","signinc_good",5,"Probable Failure","Sapling BA","Ash Subcan."
"GETT",23,"Sapling Density","Native Subcan.","signinc_good",5,"Probable Failure","Sapling Density","Ash Subcan."
"GETT",24,"Seedling Density","Native Subcan.","signinc_good",5,"Probable Failure","Seedling Density","Ash Subcan."
"GETT",25,"Tree BA","Exotic","notmod",5,"Probable Failure","Tree BA","Ash Subcan."
"GETT",26,"Tree Density","Exotic","notmod",5,"Probable Failure","Tree Density","Ash Subcan."
"GETT",27,"Sapling BA","Exotic","signinc_bad",5,"Probable Failure","Sapling BA","Ash Subcan."
