"park","Network","metric","mean","lower95","upper95"
"ALPO","ERMN","stock_final",54.2386363636364,31.0133522727273,86.3426136363636
"BLUE","ERMN","stock_final",38.75,24.8975,54.85046875
"DEWA","ERMN","stock_final",53.1275,38.002398989899,70.4168449197861
"FONE","ERMN","stock_final",53.75,32.3184375,79.6353125
"FRHI","ERMN","stock_final",30.9375,17.208125,47.10125
"GARI","ERMN","stock_final",42.375,27.9907012195122,58.3561607142857
"JOFL","ERMN","stock_final",41.9166666666667,23.2833333333333,62.853125
"NERI","ERMN","stock_final",45.8186274509804,37.1147058823529,55.078431372549
"APCO","MIDN","stock_final",62.2184389420226,40.9564672804382,88.3376015411015
"BOWA","MIDN","stock_final",70.8519249788576,27.3122824841429,138.605959604654
"COLO","NCBN","stock_final",29.6431173691367,12.3503719349949,50.3173683655775
"FRSP","MIDN","stock_final",31.8137546088953,23.5437072417874,40.2957571852384
"GETT","MIDN","stock_final",164.012704357531,104.095009527173,226.653888473001
"GEWA","NCBN","stock_final",11.8298225312815,2.74889357189107,27.3769590644184
"HOFU","MIDN","stock_final",54.1006536447802,12.9557972037104,116.93909916225
"PETE","MIDN","stock_final",35.7742583974996,23.6246268744717,49.7210662103151
"RICH","MIDN","stock_final",31.027163242661,17.9543753057164,46.4875306888184
"SAHI","NCBN","stock_final",10.5305956083497,2.35619449019234,20.8189318610282
"THST","NCBN","stock_final",8.65891982949986,1.18786726116013,18.2276399925803
"VAFO","MIDN","stock_final",5.54076992264714,3.3341052967967,7.89975584600062
"ANTI","NCRN","stock_final",24.3308234391799,9.55267861947905,44.9301447152797
"CATO","NCRN","stock_final",10.0857897743099,5.32762778382206,15.6766691193384
"CHOH","NCRN","stock_final",6.58057823883567,4.37366129453016,9.04765785250112
"GWMP","NCRN","stock_final",26.4909864572194,7.73819027439485,50.0759543325425
"HAFE","NCRN","stock_final",3.43074808636803,1.25562116497884,5.85894018640876
"MANA","NCRN","stock_final",19.2219223659592,6.36423367796452,37.7736940811232
"MONO","NCRN","stock_final",41.1564812939118,3.426056009143,113.75660695255
"NACE","NCRN","stock_final",31.8482544263264,15.8562908096328,51.6998186192301
"PRWI","NCRN","stock_final",39.1518530373764,24.770320351273,58.0455113127818
"ROCR","NCRN","stock_final",29.620992539501,18.0255183072315,42.5852121477431
"WOTR","NCRN","stock_final",34.6226526299142,6.98131700797732,66.4611794356952
"ACAD","NETN","stock_final",65.9393939393939,54.2612215909091,77.6497159090909
"MABI","NETN","stock_final",79.1111111111111,41.03125,122.839930555556
"MIMA","NETN","stock_final",18.7166666666667,10.3829166666667,29.31875
"MORR","NETN","stock_final",49.3452380952381,8.30714285714286,117.438095238095
"ROVA","NETN","stock_final",19.6166666666667,12.443125,26.9085416666667
"SAGA","NETN","stock_final",27.7301587301587,13.984126984127,45.6039682539682
"SARA","NETN","stock_final",34.1770833333333,9.76848958333333,70.7307291666666
"WEFA","NETN","stock_final",10.5666666666667,5.3,16.5333333333333
"ALPO","ERMN","Sap_Dens_Total",0.0678021262746799,0.0370425616547335,0.10667534533883
"BLUE","ERMN","Sap_Dens_Total",0.0601630867143994,0.0412564638027048,0.0860307279236276
"DEWA","ERMN","Sap_Dens_Total",0.0654335719968178,0.0482439353720575,0.0854449775136785
"FONE","ERMN","Sap_Dens_Total",0.0596658711217184,0.0298080747812251,0.0914876690533015
"FRHI","ERMN","Sap_Dens_Total",0.0447494033412888,0.0208830548926014,0.0745823389021479
"GARI","ERMN","Sap_Dens_Total",0.118384664924044,0.0850962737132743,0.154506854637287
"JOFL","ERMN","Sap_Dens_Total",0.0662954123574649,0.0380784274728189,0.0945123972421109
"NERI","ERMN","Sap_Dens_Total",0.0914486717519148,0.0774096432526869,0.105302463069556
"APCO","MIDN","Sap_Dens_Total",0.185709232401839,0.133481142722388,0.241306197045497
"BOWA","MIDN","Sap_Dens_Total",0.154757693668199,0.12233227213772,0.187183115198679
"COLO","NCBN","Sap_Dens_Total",0.117659750079652,0.0869590850135598,0.150094971362771
"FRSP","MIDN","Sap_Dens_Total",0.110314458563486,0.0975001814009596,0.123352652535532
"GETT","MIDN","Sap_Dens_Total",0.176865935620799,0.120733332618724,0.238715417350012
"GEWA","NCBN","Sap_Dens_Total",0.0722202570451598,0.0382841056479189,0.110541209762999
"HOFU","MIDN","Sap_Dens_Total",0.0257929489446999,0.01252800377314,0.0390578941162599
"PETE","MIDN","Sap_Dens_Total",0.113602350956437,0.0920553182226334,0.137190144485864
"RICH","MIDN","Sap_Dens_Total",0.13743957080533,0.107943491333569,0.17097961620092
"SAHI","NCBN","Sap_Dens_Total",0.0412687183115198,0.023508430609598,0.0560075462799198
"THST","NCBN","Sap_Dens_Total",0.0663247258577997,0.0353731871241599,0.103208642848721
"VAFO","MIDN","Sap_Dens_Total",0.0328465309010056,0.0185182845688682,0.053070308420503
"ANTI","NCRN","Sap_Dens_Total",0.107026566170535,0.0544202878833229,0.17867994521691
"CATO","NCRN","Sap_Dens_Total",0.021175785489293,0.0146786694868963,0.0276729014916897
"CHOH","NCRN","Sap_Dens_Total",0.103604134732539,0.0786070824981331,0.128935267067563
"GWMP","NCRN","Sap_Dens_Total",0.0925598396415517,0.0583362810989271,0.124395708053296
"HAFE","NCRN","Sap_Dens_Total",0.0943284989977597,0.0500825374366231,0.143276146680816
"MANA","NCRN","Sap_Dens_Total",0.056874536160414,0.0270500842714164,0.101975349743718
"MONO","NCRN","Sap_Dens_Total",0.110049915497387,0.0251542663994026,0.260995165664427
"NACE","NCRN","Sap_Dens_Total",0.101452265849153,0.077612211610266,0.130929921785953
"PRWI","NCRN","Sap_Dens_Total",0.121163330609191,0.105710940072942,0.139461839649684
"ROCR","NCRN","Sap_Dens_Total",0.0868815122347787,0.0515083251106188,0.125993707296185
"WOTR","NCRN","Sap_Dens_Total",0.0530597806862399,0.0294776559367999,0.0845026136854933
"ACAD","NETN","Sap_Dens_Total",0.209734577276343,0.179291422579012,0.243639407198477
"MABI","NETN","Sap_Dens_Total",0.134800671793512,0.103862812693362,0.175682842747282
"MIMA","NETN","Sap_Dens_Total",0.102094935030496,0.084858127817555,0.125961283479183
"MORR","NETN","Sap_Dens_Total",0.0994431185361973,0.0795544948289578,0.136379133992499
"ROVA","NETN","Sap_Dens_Total",0.100106072659772,0.0901617608061523,0.11139286661363
