"term","estimate","lower95","upper95","num_boots","park","resp"
"Intercept",1.59296021601973,0.530890036234953,2.79264276015925,1000,"ALPO","Tree_BA_FRAX"
"Slope",-0.319046007831023,-0.687412788802814,0.00884241578355348,1000,"ALPO","Tree_BA_FRAX"
"c1_response",1.27391420818871,0.462595274025044,2.16273566384209,1000,"ALPO","Tree_BA_FRAX"
"c2_response",0.954868200357688,0.34119103341224,1.6876526810968,1000,"ALPO","Tree_BA_FRAX"
"c3_response",0.635822192526665,0.120647779865273,1.44437399071081,1000,"ALPO","Tree_BA_FRAX"
"Intercept",2.74991530416316,1.2377071290759,4.44248789885244,1000,"ALPO","Tree_BA_FAGGRA"
"Slope",0.167381004666978,0.0601753183334694,0.297592374820723,1000,"ALPO","Tree_BA_FAGGRA"
"c1_response",2.91729630883014,1.29723952314159,4.70473008414301,1000,"ALPO","Tree_BA_FAGGRA"
"c2_response",3.08467731349712,1.37093247550109,4.96680473474944,1000,"ALPO","Tree_BA_FAGGRA"
"c3_response",3.2520583181641,1.43476986762196,5.24701586015263,1000,"ALPO","Tree_BA_FAGGRA"
"Intercept",NA,NA,NA,NA,"ALPO","Tree_BA_TSUCAN"
"Slope",NA,NA,NA,NA,"ALPO","Tree_BA_TSUCAN"
"c1_response",NA,NA,NA,NA,"ALPO","Tree_BA_TSUCAN"
"c2_response",NA,NA,NA,NA,"ALPO","Tree_BA_TSUCAN"
"c3_response",NA,NA,NA,NA,"ALPO","Tree_BA_TSUCAN"
"Intercept",NA,NA,NA,NA,"ALPO","Tree_BA_ASITRI"
"Slope",NA,NA,NA,NA,"ALPO","Tree_BA_ASITRI"
"c1_response",NA,NA,NA,NA,"ALPO","Tree_BA_ASITRI"
"c2_response",NA,NA,NA,NA,"ALPO","Tree_BA_ASITRI"
"c3_response",NA,NA,NA,NA,"ALPO","Tree_BA_ASITRI"
"Intercept",29.335412057084,9.16922773598757,56.9186333534803,999,"ALPO","Tree_Dens_FRAX"
"Slope",-5.6439676694791,-11.5460551150265,-1.45112153205133,999,"ALPO","Tree_Dens_FRAX"
"c1_response",23.6914443876049,6.89355578154859,47.0261492296239,999,"ALPO","Tree_Dens_FRAX"
"c2_response",18.0474767181258,4.95501976264398,38.5334025572826,999,"ALPO","Tree_Dens_FRAX"
"c3_response",12.4035090486467,2.22335421687895,29.4096224192791,999,"ALPO","Tree_Dens_FRAX"
"Intercept",33.0090568292972,17.2522760169859,55.0882981213949,889,"ALPO","Tree_Dens_FAGGRA"
"Slope",0.000642970097607082,-0.97179675629609,0.943330129922811,889,"ALPO","Tree_Dens_FAGGRA"
